Score,Decision
0.7507,1
0.7509,1
0.5445,1
0.7468,0
0.7469,0
0.5345,0
0.8013,1
0.7954,1
0.58,1
0.7609,0
0.7594,0
0.5542,0
0.7565,0
0.7542,0
0.558,0
0.7248,0
0.7222,0
0.5302,0
0.6317,1
0.6458,1
0.648,1
0.6548,0
0.6683,0
0.64,1
0.6482,1
0.6825,1
0.6467,0
0.6413,1
0.6478,0
0.6438,0
0.6502,0
0.6373,0
0.6518,0
0.7038,0
0.6235,1
0.6467,1
0.6402,1
0.6497,0
0.6826,0
0.6811,0
0.642,0
0.7249,0
0.6773,0
0.6378,0
0.633,0
0.6828,0
0.6658,0
0.6588,0
0.6449,0
0.6477,0
0.7273,0
0.6318,0
0.6408,1
0.6638,0
0.683,0
0.6837,0
0.7083,0
0.6576,0
0.6297,1
0.7193,0
0.6368,0
0.6455,1
0.669,0
0.6428,1
0.6831,0
0.6564,0
0.6799,0
0.6501,1
0.645,1
0.636,1
0.6338,1
0.6488,1
0.6378,0
0.6227,0
0.6256,1
0.6201,1
0.6045,1
0.6168,0
0.6535,0
0.5967,0
0.607,1
0.6163,1
0.6306,0
0.6148,0
0.7507,1
0.7627,1
0.7643,1
0.7737,0
0.7754,0
0.7595,1
0.7602,1
0.7601,1
0.7587,0
0.7584,1
0.7593,0
0.7655,0
0.7554,0
0.7563,0
0.7638,0
0.794,1
0.7479,1
0.7357,1
0.7503,1
0.7705,0
0.8002,0
0.7878,1
0.7679,0
0.8207,0
0.7888,0
0.7637,0
0.7624,0
0.7946,0
0.7794,0
0.7738,1
0.7579,0
0.7582,0
0.7987,1
0.7453,1
0.7468,1
0.7807,1
0.7839,0
0.7865,0
0.7708,1
0.7749,0
0.752,1
0.7939,1
0.7472,1
0.747,1
0.7819,1
0.7553,1
0.7847,0
0.762,1
0.782,0
0.7595,1
0.7514,1
0.7511,1
0.7472,1
0.754,1
0.75,0
0.7339,0
0.7317,1
0.727,1
0.7133,1
0.7261,1
0.7455,1
0.7022,0
0.718,1
0.7309,1
0.742,0
0.7272,0
0.513,1
0.5377,1
0.521,1
0.5434,0
0.5468,0
0.5307,1
0.5359,1
0.5342,1
0.5374,1
0.5338,1
0.5351,0
0.5263,0
0.5258,0
0.5318,0
0.5386,0
0.5635,1
0.5036,1
0.5257,1
0.5198,1
0.5402,0
0.5574,1
0.5612,0
0.5252,0
0.5828,1
0.5605,0
0.5323,1
0.5297,0
0.5584,0
0.544,1
0.5493,1
0.5326,0
0.5367,0
0.573,1
0.5207,1
0.5241,1
0.5775,1
0.5584,1
0.561,0
0.5433,1
0.5437,0
0.5184,1
0.5656,1
0.5239,0
0.5256,1
0.5717,1
0.5257,1
0.5541,1
0.5372,1
0.5535,0
0.5289,1
0.5246,1
0.5254,1
0.5212,1
0.529,1
0.5098,0
0.4957,0
0.4999,1
0.5061,1
0.4809,1
0.4964,1
0.5079,1
0.4703,0
0.4835,1
0.4924,1
0.5018,0
0.4904,0
0.6679,0
0.6723,0
0.6606,0
0.6609,0
0.6453,0
0.6744,0
0.645,0
0.707,1
0.6864,1
0.6409,0
0.6356,0
0.6557,0
0.6755,1
0.6859,0
0.6644,0
0.6543,0
0.6415,0
0.6791,0
0.6864,0
0.7112,0
0.6426,0
0.6406,0
0.6392,0
0.6797,0
0.6508,0
0.713,0
0.6556,0
0.6672,0
0.6946,0
0.6737,0
0.646,0
0.642,0
0.6223,0
0.6483,0
0.6573,0
0.6441,1
0.6658,0
0.6557,0
0.6551,0
0.6657,0
0.6495,0
0.6513,0
0.648,0
0.6533,0
0.6672,0
0.6843,0
0.6725,0
0.6517,0
0.6607,0
0.6627,0
0.6668,0
0.7018,0
0.678,0
0.6633,0
0.6789,0
0.646,0
0.6342,0
0.6377,0
0.6803,0
0.6373,0
0.665,0
0.6493,0
0.6285,1
0.638,0
0.6369,0
0.6306,1
0.6499,0
0.6483,1
0.6507,0
0.6532,0
0.6297,0
0.6496,1
0.6776,0
0.6228,1
0.6883,0
0.6704,0
0.6614,0
0.6655,0
0.6509,0
0.6556,1
0.6886,0
0.6358,1
0.6052,1
0.5888,1
0.5951,1
0.5877,1
0.5956,1
0.5989,1
0.6195,1
0.5949,1
0.7575,0
0.7398,0
0.7584,0
0.7557,0
0.7288,0
0.761,0
0.7555,1
0.7666,0
0.7514,1
0.7341,0
0.7367,0
0.756,1
0.7585,1
0.7861,0
0.7615,0
0.7526,0
0.7303,0
0.8085,1
0.8132,1
0.7831,0
0.7333,1
0.7343,1
0.728,1
0.7719,0
0.744,0
0.7944,0
0.7422,0
0.7815,1
0.7781,0
0.7578,0
0.7331,0
0.7193,0
0.7019,0
0.7323,0
0.7402,0
0.7364,1
0.7641,0
0.7405,0
0.757,0
0.7437,0
0.7501,0
0.7591,0
0.7376,0
0.7629,1
0.7626,0
0.7738,0
0.7545,0
0.7378,0
0.7481,0
0.7471,0
0.7559,0
0.7794,0
0.762,0
0.7517,0
0.7592,0
0.756,1
0.7177,0
0.7395,0
0.7705,0
0.7363,0
0.7516,0
0.7093,0
0.7039,1
0.7291,0
0.715,1
0.7158,1
0.7496,0
0.7369,1
0.7592,0
0.7526,0
0.7258,0
0.726,1
0.761,0
0.7099,1
0.7622,0
0.7563,0
0.7505,0
0.7539,0
0.7271,0
0.7322,1
0.7638,0
0.7172,1
0.6805,1
0.6689,1
0.6735,1
0.6651,1
0.6727,1
0.6761,1
0.6945,1
0.6764,1
0.7538,0
0.7364,0
0.7554,0
0.7515,0
0.7265,0
0.7583,0
0.7562,1
0.7628,0
0.7496,1
0.7314,0
0.7352,0
0.7543,1
0.7527,1
0.7817,0
0.7607,0
0.7516,0
0.7274,0
0.8008,1
0.8063,1
0.7793,0
0.7294,1
0.7302,1
0.7235,1
0.7702,0
0.7415,0
0.788,0
0.7398,0
0.7778,1
0.7717,0
0.7531,0
0.7285,0
0.719,0
0.7036,0
0.7317,0
0.7367,0
0.7337,1
0.7622,0
0.7369,0
0.7551,0
0.7392,0
0.7446,0
0.7518,0
0.7355,0
0.7584,1
0.7617,0
0.768,0
0.7506,0
0.7341,0
0.7443,0
0.7514,0
0.7554,0
0.7754,0
0.7592,0
0.752,0
0.7543,0
0.7522,1
0.7153,0
0.7371,0
0.7668,0
0.7334,0
0.7497,0
0.71,0
0.7029,1
0.7256,0
0.711,1
0.7127,1
0.7456,0
0.729,1
0.7487,0
0.7457,0
0.7218,0
0.7225,1
0.7585,0
0.7059,1
0.7573,0
0.7496,0
0.7459,0
0.7493,0
0.7232,0
0.7262,1
0.7616,0
0.7139,1
0.6784,1
0.6684,1
0.6721,1
0.6646,1
0.6709,1
0.6778,1
0.6969,1
0.6766,1
0.5464,0
0.5541,0
0.5421,0
0.5412,0
0.5256,0
0.5534,0
0.5439,1
0.5709,0
0.5427,1
0.5304,0
0.5318,0
0.5429,1
0.5518,1
0.5792,0
0.5426,0
0.5375,0
0.5291,0
0.591,1
0.596,1
0.5636,0
0.5283,1
0.5304,1
0.5236,1
0.5623,0
0.5385,0
0.5802,0
0.5457,0
0.5739,1
0.5778,0
0.5508,0
0.5308,0
0.5289,0
0.5272,0
0.538,0
0.5418,0
0.5295,1
0.5575,0
0.5318,0
0.5444,0
0.5341,0
0.536,0
0.5345,0
0.5379,0
0.5473,1
0.5488,0
0.545,0
0.5423,0
0.5338,0
0.5436,0
0.5406,0
0.5511,0
0.5749,0
0.5617,0
0.5441,0
0.5526,0
0.5479,1
0.5181,0
0.5343,0
0.5618,0
0.5318,0
0.5518,0
0.5237,0
0.5263,1
0.5277,0
0.5189,1
0.5108,1
0.533,0
0.5325,1
0.5342,0
0.5481,0
0.5255,0
0.5324,1
0.5538,0
0.5086,1
0.5579,0
0.544,0
0.5368,0
0.5368,0
0.5234,0
0.53,1
0.5635,0
0.5201,1
0.4819,1
0.4697,1
0.4742,1
0.4702,1
0.4749,1
0.4824,1
0.4982,1
0.4783,1
